dates,brand,total_users_reached,total_cost,sponsored_products_s,sponsored_products_u,sponsored_brands_s,sponsored_brands_u,video_s,video_u,OTT_s,OTT_u,sponsored_display_s,sponsored_display_u,display_s,display_u,sales,converted_users
2022-09-13,Brand LO,3919767,33646.472129999995,16900.409999999996,9403,0.0,0,0.0,0,0.0,0,0.0,0,16746.062130000002,3910364,78396.67,10681
2022-09-13,Brand M,3176652,63585.00895000003,18745.349999999984,15606,0.0,0,0.0,0,27953.00230000005,486194,0.0,0,16886.656649999997,2674852,49525.16,9800
2022-09-13,Brand N,847235,14394.128439999997,10360.06,12013,0.0,0,0.0,0,0.0,0,9.13,6,4024.9384399999976,835216,37286.37,6256
2022-09-13,Brand R,719117,7666.995789999988,339.8399999999999,144,0.0,0,0.0,0,0.0,0,0.0,0,7327.155789999988,718973,11227.32,1134
2022-09-14,Brand C,1780025,25383.18695000001,0.0,0,0.0,0,604.5587499999999,41827,16210.433250000024,328393,0.0,0,8568.194949999988,1409805,16400.34,4215
2022-09-14,Brand G,1574931,17849.581419999977,8552.219999999988,3749,0.0,0,0.0,0,0.0,0,0.0,0,9297.361419999988,1571182,32165.69,4146
2022-09-14,Brand LA,1050828,5840.124260000002,0.0,0,0.0,0,183.11194000000023,19078,0.0,0,0.0,0,5657.012320000002,1031750,2397.76,651
2022-09-14,Brand LO,3985716,35705.78556,18138.84,9334,0.0,0,0.0,0,0.0,0,0.0,0,17566.945559999996,3976382,76620.05,10474
2022-09-14,Brand M,2664544,41797.09961999999,17418.740000000016,14596,0.0,0,0.0,0,10288.16959999998,265641,0.0,0,14090.19002,2384307,48622.87,9505
2022-09-14,Brand N,1650750,16495.50674000001,10073.40000000001,11342,0.0,0,0.0,0,0.0,0,21.49,14,6400.61674,1639394,34892.7,5957
2022-09-14,Brand R,559211,6972.13017999999,363.5899999999999,147,0.0,0,0.0,0,0.0,0,0.0,0,6608.54017999999,559064,11419.78,1153
2022-09-15,Brand C,1537585,26026.54742000008,0.0,0,0.0,0,572.1794700000008,36494,17337.91075000008,329080,0.0,0,8116.457200000002,1172011,14680.84,4260
2022-09-15,Brand G,1568529,18852.829160000045,8311.820000000012,3565,0.0,0,0.0,0,0.0,0,0.0,0,10541.00916000003,1564964,32621.91,4083
2022-09-15,Brand LA,858523,4921.813199999991,0.0,0,0.0,0,187.69520999999983,18724,0.0,0,0.0,0,4734.117989999992,839799,2304.09,626
2022-09-15,Brand LO,5104475,42109.56639000002,20280.050000000017,9579,0.0,0,0.0,0,0.0,0,0.0,0,21829.51639,5094896,76246.78,10295
2022-09-15,Brand M,2249304,32564.002569999997,19129.44000000001,14865,0.0,0,0.0,0,0.0,0,0.0,0,13434.562569999987,2234439,49530.4,9793
2022-09-15,Brand N,2387163,20648.682070000017,11148.850000000026,11347,0.0,0,0.0,0,0.0,0,25.65,13,9474.182069999992,2375803,35516.36,5968
2022-09-15,Brand R,488253,6993.9963199999875,320.55000000000007,134,0.0,0,0.0,0,0.0,0,0.0,0,6673.446319999987,488119,12251.87,1111
2022-09-16,Brand C,1637397,26537.986190000032,0.0,0,0.0,0,582.6712099999994,32493,17255.295650000022,327673,0.0,0,8700.019330000008,1277231,14563.08,3965
