brand,total_users_reached,total_cost,sponsored_products_s,sponsored_products_u,sponsored_brands_s,sponsored_brands_u,video_s,video_u,OTT_s,OTT_u,sponsored_display_s,sponsored_display_u,display_s,display_u,sales,converted_users
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,8758168,189790.27152399992,86014.63999999994,41246,16965.209999999985,110925,8785.71042727998,402347,17043.36015948998,532626,5.13,2,60976.220937230006,7671022,333710.76,53300
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,9135396,196094.29764303993,86040.96999999997,41506,17193.89,111146,9236.10654040999,418424,17200.48356635,551317,21.35,7,66401.49753627996,8012996,338311.68,54303
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,8741911,195702.63152551014,88655.10000000008,42301,16627.330000000005,112935,10917.305436139966,506225,16380.96349861003,534978,171.39,49,62950.542590760044,7545423,328138.46,52111
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,8131452,201985.69736952006,93946.00000000009,44703,16784.28999999998,128784,9333.502541069982,403266,17706.77200751999,561057,109.38999999999999,46,64105.74282093004,6993596,312993.69,47854
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,9384408,207859.94508471998,95888.12999999999,45951,17842.049999999996,132656,9202.336938689992,432032,17603.641371389967,579174,94.15999999999998,40,67229.62677464004,8194555,324959.69,49942
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,9282097,198433.55559252,91030.59999999999,44046,16011.069999999983,131976,8673.436146369992,403320,15235.289648549975,508871,98.24,42,67384.91979760006,8193842,329618.68,51149
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,8951707,182003.57029162993,77396.82999999993,38096,11970.779999999999,98461,8908.358809349984,390770,16553.00099739997,530097,89.54,34,67085.06048488006,7894249,304788.29,48017
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,8774442,154667.03196218002,53668.35000000005,30261,9201.619999999997,69597,8754.969768849995,399197,16965.177188369984,545818,57.91,24,66019.00500496,7729545,287221.72000000003,46754
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,9717150,165343.89792982006,53873.26000000007,29986,8866.39,66635,8573.420075309989,388484,16566.04764543,549875,55.67,26,77409.11020908003,8682144,279641.37,46118
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,11154450,168108.10767985,53093.62000000006,28951,8618.52,68008,8366.69622442999,376056,16329.286063049978,542745,100.75,44,81599.23539237,10138646,277295.77,44903
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,9379571,165129.62395810004,54318.52000000003,28428,8600.759999999998,63314,8532.585191769987,377812,17538.75534447996,593551,96.64,35,76042.36342185007,8316431,250099.71999999997,41496
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,9062594,165708.33577731997,54705.689999999944,28908,9006.119999999999,65309,8453.00697961,377727,17439.714323169977,608211,91.42000000000004,41,76012.38447454007,7982398,256218.48,41785
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,9891465,167796.7716892901,53464.29000000006,29392,8473.18000000001,67922,8376.89201565999,376377,20441.40418657999,596742,98.50999999999999,43,76942.49548705004,8820989,263395.74,43368
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,10437329,178314.60589550008,47988.06999999995,27731,8479.429999999995,73399,7868.943530429999,344113,27805.08678273999,701766,166.86999999999998,69,86006.20558233013,9290251,251334.37,41484
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,10610697,168113.48486333,39406.73000000002,24893,6683.299999999993,54282,7402.456163859985,314098,26383.531425229972,688044,137.70000000000002,58,88099.76727424006,9529322,247559.77,41043
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,9372344,158444.17657044,40522.19,25493,6638.120000000001,54902,7505.74887937999,321983,28047.719992609986,703651,263.88,123,75466.51769845003,8266192,243651.07999999996,40597
